date,one,two,three,four,five,six,seven,eight,nine,ten,ele,binary,change_val
20150107,-0.599380089,-0.827182322,0.089806418,-1.551087317,-0.508122603,-0.279316491,-0.578798888,0.32632279,0.004753741,-0.843781565,-0.802352118,1,0.5
20150113,-1.176694945,-0.451520206,0.054829577,-1.145616804,0.143170945,-0.858966217,-0.212872213,-1.764239192,-0.415772289,-1.222970439,0.366618056,0,-1.3
20150116,-2.443130772,-2.038663011,-1.506290209,-0.638049917,-0.305297665,-0.823847905,-2.396157934,-3.152386798,0.295420913,-0.360881709,-0.265944521,0,-1.4
20150119,1.27029658,1.16635679,0.340915148,0.849660078,0.059491225,1.724739178,-0.018772614,5.396246582,1.818431553,-0.670348199,-0.299923629,1,1.1
20150122,0.472809243,-0.050227102,-0.275660036,0.556675296,0.197791806,0.733734073,-0.502024409,3.233508494,0.8110893,-0.564445107,-1.224185896,1,0.7
20150128,3.28696634,-0.887081626,0.769195428,1.870120138,1.060001535,0.707819868,0.183781827,4.25240504,0.92343715,2.007601873,0.961291724,1,4.9
20150203,-0.302681521,0.366142076,-0.510683732,1.140867501,0.872243324,0.803370213,0.694566322,1.01027151,-0.354290356,1.109315775,-0.213609699,0,-2.8
20150206,-0.93344353,0.368803284,-1.34153301,0.987997958,0.711816073,0.866193922,0.173432606,4.593225392,0.884268253,-0.72687815,0.95500561,0,-0.5
20150209,0.103231035,-1.04690077,-1.372666585,-0.754241145,-0.294978581,-0.313946547,-0.035871021,0.562778727,-0.856723744,-1.170536678,0.780794407,1,5.3
20150212,-1.633398933,-0.31804401,-0.172771964,-0.23146732,0.24212153,-0.931389076,0.658535925,0.188129015,-0.399561228,-0.097327651,0.052684445,1,7
20150224,0.475591132,0.018977607,0.854753306,0.101283036,0.772949966,1.552083515,1.490498558,-1.081065668,0.149573482,-0.395513547,0.450187365,1,2.1
20150227,-0.514086148,0.113021544,-0.613323327,0.213509999,0.369350787,-0.101540085,-0.268023493,-0.217989733,-0.953612999,0.888835514,-0.177326981,1,4.7
20150302,3.022620643,-1.247972356,-0.861618133,-2.16616172,-1.160292512,1.293123854,0.480140588,5.001925895,0.449222545,-0.603022722,-0.474980342,1,1.6
20150305,0.565364187,-0.429495872,0.468573423,0.788059669,0.466636875,0.576991077,1.145917784,-0.496813125,-0.073357921,0.229198519,0.490739746,0,-0.6
20150311,-3.132749653,-2.951040704,-0.780635758,-0.572326152,-1.065105937,-0.79560142,0.646383097,-1.15782045,-0.713261709,-0.860134583,0.205113696,1,2.2
20150317,3.129201611,3.845062947,0.700641858,1.587765517,0.937821291,1.232503976,2.079530801,3.02089322,1.047204269,0.587265252,0.884723537,0,-4.3
20150320,-1.147790469,-0.028102351,-0.921064512,1.210303945,0.38987724,0.714551201,0.08344945,3.413632189,-0.22032096,0.498837741,3.957436735,1,6.3
20150323,1.408912108,0.930554445,-0.330929752,0.430353433,-0.152054363,0.387392415,-0.055199234,-0.537407279,1.608010967,0.378964903,-2.756018275,0,-10.5
20150326,-1.4037711,0.549946148,-0.337139966,0.071217543,-0.182192359,-0.009053742,-1.373554397,0.392420812,-0.029587158,-0.247008778,-2.735749821,1,3
20150401,-1.540177748,-0.747869458,-0.45689701,-0.436439643,0.681320349,0.292955309,-2.057802647,-2.561359611,-0.026301308,-0.335260562,0.506503297,0,-5
20150407,0.135787922,0.033706817,-0.004176654,-0.042430906,-0.256465071,0.194138319,-0.092220915,1.967732429,1.632200486,-0.411229072,1.269692474,1,6.6
20150410,1.325478541,3.24940291,1.615166239,0.840373749,1.969154492,0.529309956,0.096379411,-0.567184931,0.886276894,0.505752702,0.140264476,1,2.8
20150413,4.031702788,1.278039161,0.018114839,0.56306098,-0.316340592,2.545490063,0.469366562,3.834245676,-0.100881975,-1.361928041,1.543708964,1,8.7
20150416,0.209205178,0.683158263,0.79004041,0.123234797,1.796294616,-1.073717391,0.808081975,0.586747274,1.058034493,0.970633858,2.273722868,0,-7.9
20150422,-0.054143681,0.776551937,-0.192179534,-0.929622251,-0.718206487,0.456893091,1.127672288,-0.930696859,0.240053236,0.383726502,-0.26110183,0,-3.8
20150428,-0.915625188,0.307255894,-0.345666218,0.131339242,0.424702911,0.301053249,-0.544774647,1.586146335,1.98584562,-0.357978074,-1.706883286,0,-2.1
20150506,-1.456557655,-2.847098539,-1.866560375,-1.173614267,-0.423265263,-1.067485095,-2.711110672,-0.510165926,-0.446964401,-0.940722254,-2.771236963,1,0.3
20150512,0.11171843,-0.570566841,-0.038006986,-0.029612058,-0.242328202,0.747661135,-1.246470778,-1.762735636,0.876148553,0.254266313,-0.984874074,1,4.6
20150515,-2.70987903,-2.023577509,0.406857483,-1.058651635,0.635027213,-0.694808101,-0.780264057,-1.758072974,-0.817833352,-0.798771203,-0.098168217,0,-4.7
20150518,-1.32139419,0.076650851,-0.279590271,0.948952853,0.706737599,-1.066384114,-0.988126155,-2.480627601,1.231923952,0.901362987,3.759758128,0,-0.1
20150521,-0.665751917,-1.998389203,-0.506310278,-1.654331812,-0.010417572,0.664813377,-0.605802274,-1.276651175,0.121215118,0.325875297,1.729658969,0,-4.4
20150527,-0.702930712,-2.806607454,-1.07905014,-1.187011292,-1.64179616,-1.691876054,-1.722948452,-2.034875855,-1.822506279,-3.057978349,-0.228418766,0,-1.5
20150602,-1.579266181,-0.451657052,-3.68295649,-1.012294229,-2.539611293,-0.470934716,1.298264639,-2.067544334,-1.035574779,-0.960295424,3.723662837,1,0.9
20150605,-0.44824466,-0.970099893,-0.810813343,-0.337795794,-0.571065523,-0.272565862,-1.126238257,-1.413106479,-0.631214352,-0.304116821,1.946356694,1,2.5
20150608,0.606695298,2.508441375,-0.757558965,0.569262727,0.518340484,1.667322213,-0.681738163,-0.031060671,0.426463724,0.40456723,0.274061397,1,9.8
20150611,-0.499192211,-0.088847198,1.53336665,-0.042296353,0.644087353,0.081928729,-0.25419878,-0.830528922,1.81081556,-0.291731816,2.711336545,1,1.6
20150617,2.427757399,-0.304761827,-0.065868231,0.178881156,0.072988929,1.09940465,0.587398239,1.892000089,-1.24002466,0.168188716,2.001979135,0,-0.6
20150623,1.319058553,1.647807548,0.73853456,0.494638365,1.049591234,-0.049994698,0.459170979,3.803865267,0.686918515,0.168576789,0.310072405,1,4.7
20150626,-1.138852706,0.835641244,0.191512621,0.647063478,0.048769575,-1.126928626,-1.323286052,-1.461150861,-0.686216974,-0.124152304,2.552705567,1,8.2
20150629,-3.568394019,-2.508960298,-2.009044047,-2.511678386,-0.722477714,-3.548066935,-1.871520658,-4.926157294,-2.304068561,-0.699538302,-1.028505411,1,3.4
20150701,1.549905011,0.144473046,0.582600852,1.703060231,-0.379340968,2.322376313,0.726878032,4.658098031,1.929432746,1.008093765,4.126427614,1,4.2
20150707,0.425978999,1.423060042,-0.25004488,0.214877647,-1.860211762,-0.614736043,1.362027334,2.380015804,1.247593558,2.314678367,-19.58619897,1,7.5
20150710,1.761828241,-0.012442664,0.059500329,0.426284983,0.807310978,2.174218996,-0.057872569,0.666627575,-1.222065368,-0.33993341,-2.202018352,0,-3.1
20150713,4.424782812,2.195838671,0.713571835,1.654881889,2.071725876,0.988595861,0.970278022,-0.117060852,2.36521382,1.978995722,2.250648542,1,1.7
20150716,1.883747546,0.931310563,-0.71985422,-0.490907027,-1.029887087,-0.360970571,0.384134903,-1.052606202,-0.75638441,1.437302523,-3.144748125,1,3.2
20150722,-1.925666499,-1.523311256,-0.867082507,-0.324720011,-0.894007572,-1.500068862,-1.976278678,-2.766622503,-0.842763582,-0.934351039,-0.909766973,0,-1.6
20150728,-0.404822634,0.568150539,-0.551035281,-1.514622117,-0.801672212,-1.940631572,-0.309809672,-0.479384436,-2.300634402,0.936888917,2.192438636,0,-1.3
20150731,1.450548702,1.826050714,-0.030257557,0.880350466,1.13719565,0.319550994,0.267653908,-0.729608871,-0.097301672,-0.654616032,2.646394062,1,1.8
20150803,-1.125778977,-0.788345331,-0.617833669,0.304888203,0.249576875,-5.507546164,-0.669692183,-2.202528104,-0.443792516,0.302495256,-4.947132939,0,-4.7
20150806,0.058392925,0.664332757,-1.092976428,0.456067908,1.362214502,0.789477506,-0.334473351,-1.557195349,-0.612638003,-1.762870585,1.546342163,0,-2.9
20150812,-0.571285728,-0.948651873,0.436509587,-0.523166338,-3.007714561,-1.123631604,-0.761423067,0.740438137,-0.89447557,0.245813022,-3.846366346,1,6.1
20150818,-1.781422067,0.573951376,0.88480732,-2.140881309,-2.731621147,-2.496701104,-0.89984415,-0.574660936,0.37972662,-1.236422237,-2.500648321,0,-1
20150821,-1.06316422,-1.719407979,-2.351182326,-1.858124572,-2.115199257,-1.745190786,-4.087387526,-3.830342762,-2.345027057,-1.526841689,-4.518536446,1,4
20150824,-1.124048017,-3.111858049,-2.418743369,-3.335039464,-2.250433572,-1.443520828,-2.941741888,1.24550379,-1.388054156,-1.517363,-1.532281373,1,7.8
